Generation,Best Fitness
0,4149.625966477727
1,3967.929426372753
2,3960.029969091651
3,3936.848040083869
4,3936.848040083869
5,3936.848040083869
6,3936.848040083869
7,3936.848040083869
8,3936.848040083869
9,3936.848040083869
10,3934.5565948662916
11,3934.5565948662916
12,3934.5565948662916
13,3934.5565948662916
14,3933.713228408312
15,3930.51367876671
16,3926.8451553777404
17,3926.8451553777404
18,3926.8451553777404
19,3926.8451553777404
20,3925.5200651444225
21,3925.5200651444225
22,3921.937797976924
23,3921.937797976924
24,3921.937797976924
25,3921.937797976924
26,3921.937797976924
27,3919.1506368320433
28,3917.119725919689
29,3917.119725919689
30,3917.1197259196883
31,3917.1197259196883
32,3917.1197259196883
33,3917.1197259196883
34,3916.42202389228
35,3916.42202389228
36,3912.4910418025115
37,3912.4910418025115
38,3912.4910418025115
39,3910.9158578377774
40,3910.9158578377774
41,3910.9158578377774
42,3910.9158578377774
43,3910.9158578377774
44,3910.9158578377774
45,3910.9158578377774
46,3910.9158578377774
47,3910.9158578377774
48,3910.9158578377774
49,3910.9158578377774
50,3910.9158578377774
51,3910.9158578377774
52,3910.9158578377774
53,3910.9158578377774
54,3910.9158578377774
55,3910.9158578377774
56,3910.9158578377774
57,3910.9158578377774
58,3910.9158578377774
59,3910.9158578377774
60,3910.9158578377774
61,3910.9158578377774
62,3910.9158578377774
63,3910.9158578377774
64,3910.9158578377774
65,3910.9158578377774
66,3910.9158578377774
67,3910.9158578377774
68,3910.9158578377774
69,3910.9158578377774
70,3910.9158578377774
71,3910.9158578377774
72,3909.7896321139856
73,3909.7896321139856
74,3909.7896321139856
75,3909.7896321139856
76,3909.7896321139856
77,3909.7896321139856
78,3909.7896321139856
79,3909.7896321139856
80,3909.7896321139856
81,3909.7896321139856
82,3909.7896321139856
83,3909.7896321139856
84,3909.7896321139856
85,3909.7896321139856
86,3909.7896321139856
87,3909.7896321139856
88,3909.0835185623896
89,3908.142514650967
90,3908.142514650967
91,3908.142514650967
92,3908.142514650967
93,3908.142514650967
94,3908.142514650967
95,3905.8937938909057
96,3905.8937938909057
97,3905.8937938909057
98,3905.8937938909057
99,3905.8937938909057
100,3905.8937938909057
101,3905.47087750885
102,3905.47087750885
103,3905.377040301838
104,3905.377040301838
105,3905.377040301838
106,3904.567722819112
107,3904.567722819112
108,3904.567722819112
109,3904.567722819112
110,3904.567722819112
111,3904.5209154881636
112,3904.5209154881636
113,3904.5209154881636
114,3902.6503469397567
115,3900.866947316942
116,3900.866947316942
117,3900.866947316942
118,3900.866947316942
119,3900.866947316942
120,3900.866947316942
121,3900.866947316942
122,3900.866947316942
123,3900.350193727875
124,3900.350193727875
125,3900.350193727875
126,3900.350193727875
127,3900.350193727875
128,3900.350193727875
129,3899.788006476744
130,3899.788006476744
131,3899.788006476744
132,3899.788006476744
133,3899.788006476744
134,3899.138964238321
135,3899.138964238321
136,3899.138964238321
137,3899.138964238321
138,3899.138964238321
139,3897.8658173622134
140,3897.8658173622134
141,3892.819782601592
142,3892.819782601592
143,3892.819782601592
144,3891.3998743227858
145,3891.3998743227858
146,3891.3998743227858
147,3891.3998743227858
148,3891.3998743227858
149,3891.3998743227858
150,3891.3998743227858
151,3891.3998743227858
152,3891.3998743227858
153,3891.3998743227858
154,3891.074222749229
155,3891.074222749229
156,3891.074222749229
157,3891.074222749229
158,3890.958497172642
159,3890.958497172642
160,3884.734656748675
161,3884.734656748675
162,3884.734656748675
163,3884.734656748675
164,3884.734656748675
165,3884.734656748675
166,3884.734656748675
167,3884.734656748675
168,3884.734656748675
169,3884.734656748675
170,3884.217903159607
171,3884.217903159607
172,3884.217903159607
173,3884.217903159607
174,3884.217903159607
175,3884.217903159607
176,3884.217903159607
177,3883.2052044456877
178,3883.2052044456877
179,3883.2052044456877
180,3883.2052044456877
181,3883.2052044456877
182,3883.2052044456877
183,3883.2052044456877
184,3883.2052044456877
185,3883.2052044456877
186,3883.2052044456877
187,3883.2052044456877
188,3883.2052044456877
189,3882.556162207264
190,3882.556162207264
191,3882.556162207264
192,3882.556162207264
193,3882.556162207264
194,3882.556162207264
195,3882.556162207264
196,3882.556162207264
197,3882.556162207264
198,3882.556162207264
199,3882.556162207264
200,3882.556162207264
201,3882.556162207264
202,3882.556162207264
203,3882.556162207264
204,3882.556162207264
205,3882.556162207264
206,3882.556162207264
207,3882.556162207264
208,3882.556162207264
209,3882.556162207264
210,3882.556162207264
211,3882.556162207264
212,3882.556162207264
213,3882.556162207264
214,3882.556162207264
215,3882.556162207264
216,3882.556162207264
217,3882.556162207264
218,3882.556162207264
219,3882.556162207264
220,3882.556162207264
221,3882.556162207264
222,3882.556162207264
223,3882.556162207264
224,3882.556162207264
225,3882.556162207264
226,3882.556162207264
227,3882.556162207264
228,3882.556162207264
229,3882.556162207264
230,3882.556162207264
231,3882.556162207264
232,3882.556162207264
233,3882.556162207264
234,3882.556162207264
235,3882.556162207264
236,3882.556162207264
237,3882.556162207264
238,3882.556162207264
239,3882.556162207264
